journal,issn,ajg_rank,ft50
International Transactions in Operational Research,1475-3995,1,0
Journal of Business Analytics,,1,
Journal of Industrial and Management Optimization,1553-166X,1,0
Journal of Modelling in Management,1746-5672,1,0
Journal of Multi-Criteria Decision Analysis,1099-1360,1,0
Kybernetes,1758-7883,1,0
Mathematical Methods of Operations Research,1432-5217,1,0
Operational Research,1866-1505,1,0
OPSEARCH,0975-0320,1,0
Optimization,1029-4945,1,0
Pacific Journal of Optimization,1349-8169,1,0
Pesquisa Operacional,0101-7438,1,0
RAIRO - Operations Research SIMULATION: Transactions of The Society for Modeling and Simulation,,1,
TOP,1863-8279,1,0
Organization Science,1526-5455,4*,1
Human Relations,1741-282X,4,0
Leadership Quarterly,1873-3409,4,0
Organization Studies,1741-3044,4,0
Organizational Research Methods,1552-7425,4,0
Group and Organization Management,1552-3993,3,0
Organization,1461-7323,3,0
Organization and Environment,1552-7417,3,0
Organizational Dynamics,1873-3530,3,0
Research in Organizational Behavior,0191-3085,3,0
Research in the Sociology of Organizations,0733-558X,3,0
Culture and Organization,1477-2760,2,0
Group Processes and Intergroup Relations,1461-7188,2,0
Journal of Co-operative Organization and Management,,2,
Journal of Knowledge Management,1758-7484,2,0
Journal of Organizational Behavior Management,1540-8604,2,0
Journal of Organizational Change Management,1758-7816,2,0
Journal of Professions and Organization,2051-8811,2,0
Leadership,1742-7169,2,0
Management Communication Quarterly,1552-6798,2,0
Negotiation Journal,1571-9979,2,0
Symbolic Interaction,1533-8665,2,0
Systemic Practice and Action Research,1573-9295,2,0
The Journal of Applied Behavioral Science,1552-6879,2,0
Action Research,1741-2617,1,0
Computational and Mathematical Organization Theory,,1,
Ephemera: Critical Dialogues on Organization,1473-2866,1,0
International Journal of Knowledge Management Studies,1743-8276,1,0
International Journal of Organization Theory and Behavior,1093-4537,1,0
International Journal of Organizational Analysis,1934-8835,1,0
International Journal of Project Organisation and Management,1740-2905,1,0
Journal of Organizational Ethnography,2046-6757,1,0
Leadership and Organization Development Journal,1472-5347,1,0
Learning Organization,0969-6474,1,0
Network Science,2050-1250,1,0
Organizations and Markets in Emerging Economies,2345-0037,1,0
Qualitative Research in Organizations and Management,1746-5656,1,0
Tamara: Journal for Critical Organization Inquiry,1545-6420,1,0
Psychological Science,1467-9280,4*,1
Annual Review of Psychology,1545-2085,4,0
Behavioral and Brain Sciences,1469-1825,4,0
Cognition,1873-7838,4,0
Current Directions in Psychological Science,1467-8721,4,0
Journal of Experimental Psychology: Applied,1939-2192,4,0
Journal of Experimental Psychology: General,1939-2222,4,0
Journal of Experimental Social Psychology,1096-0465,4,0
Journal of Personality and Social Psychology,1939-1315,4,0
Nature Human Behaviour,,4,
Personality and Social Psychology Bulletin,1552-7433,4,0
Psychological Bulletin,1939-1455,4,0
Psychological Review,1939-1471,4,0
British Journal of Psychology,2044-8295,3,0
British Journal of Social Psychology,2044-8309,3,0
Cognitive Science,1551-6709,3,0
European Journal of Social Psychology,1099-0992,3,0
Journal of Behavioral Decision Making,1099-0771,3,0
Journal of Conflict Resolution,1552-8766,3,0
Journal of Cross-Cultural Psychology,1552-5422,3,0
Journal of Environmental Psychology,,3,
Journal of Experimental Psychology: Learning Memory and Cognition,1939-1285,3,0
Journal of Mathematical Psychology,1096-0880,3,0
Journal of Personality,,3,
Judgment and Decision Making,1930-2975,3,0
Personality and Individual Differences,1873-3549,3,0
Psychological Research,1430-2772,3,0
Psychology of Women Quarterly,1471-6402,3,0
Psychometrika,1860-0980,3,0
Quarterly Journal of Experimental Psychology,1747-0226,3,0
Social Psychological and Personality Science,1948-5514,3,0
Stress and Health,1532-2998,3,0
Advances in Methods and Practices in Psychological Science (AMPPS),,2,
Applied Cognitive Psychology,1099-0720,2,0
Cognitive Research: Principles and Implications,2365-7464,2,0
Collabra: Psychology,,2,
Creativity Research Journal,1532-6934,2,0
Decision,2325-9973,2,0
European Journal of Psychological Assessment,,2,
Journal of Cognitive Engineering and Decision Making,2169-5032,2,0
Journal of Community Psychology,1520-6629,2,0
Journal of Economic Psychology,1872-7719,2,0
Journal of Language and Social Psychology,1552-6526,2,0
Journal of Nonverbal Behavior,1573-3653,2,0
Scandinavian Journal of Psychology,1467-9450,2,0
Zeitschrift fur Psychologie / Journal of Psychology,2151-2604,2,0
American Behavioral Scientist,1552-3381,1,0
American Journal of Psychology,1939-8298,1,0
Australian Journal of Psychology,1742-9536,1,0
Basic and Applied Social Psychology,1532-4834,1,0
Canadian Journal of Behavioural Science,1879-2669,1,0
Canadian Psychology,1878-7304,1,0
Current Psychology,1936-4733,1,0
European Journal of Psychology Open,,1,
European Psychologist,1878-531X,1,0
International Journal of Intercultural Relations,1873-7552,1,0
International Journal of Psychology,1464-066X,1,0
Japanese Psychological Research,1468-5884,1,0
Journal of Constructivist Psychology,1521-0650,1,0
Journal of Happiness Studies,1573-7780,1,0
Journal of Pacific Rim Psychology,1834-4909,1,0
Journal of Positive Psychology,1743-9779,1,0
Journal of Social Psychology,1940-1183,1,0
Nordic Psychology,1904-0016,1,0
Psicothema,1886-144X,1,0
Psihologija,1451-9283,1,0
Psychological Reports,1558-691X,1,0
Psychologist,0952-8229,1,0
Social Justice Research,1573-6725,1,0
South African Journal of Psychology,2078-208X,1,0
Spanish Journal of Psychology,1988-2904,1,0
The Journal of Psychology,,1,
Journal of Applied Psychology,1939-1854,4*,1
Personnel Psychology,1744-6570,4*,1
Journal of Occupational and Organizational Psychology,2044-8325,4,0
Journal of Occupational Health Psychology,1939-1307,4,0
Journal of Organizational Behavior,1099-1379,4,0
Journal of Vocational Behavior,1095-9084,4,0
Organizational Behavior and Human Decision Processes,1095-9920,4,1
Work and Stress,1464-5335,4,0
Accident Analysis and Prevention,1879-2057,3,0
Applied Ergonomics,1872-9126,3,0
Applied Psychology,1464-0597,3,0
Ergonomics,1366-5847,3,0
European Journal of Work and Organizational Psychology,1464-0643,3,0
Human Factors,1547-8181,3,0
Human Performance,1532-7043,3,0
International Journal of Rehabilitation Research,1473-5660,3,0
Journal of Business and Psychology,1573-353X,3,0
Journal of Managerial Psychology,1758-7778,3,0
Journal of School Psychology,1873-3506,3,0
Occupational and Environmental Medicine,1470-7926,3,0
"Scandinavian Journal of Work, Environment and Health",1795-990X,3,0
Applied Psychological Measurement,1552-3497,2,0
Applied Psychology: Health and Well-Being,1758-0854,2,0
"Cognition, Technology and Work",1435-5566,2,0
Group Dynamics,1930-7802,2,0
International Archives of Occupational and Environmental Health,1432-1246,2,0
International Journal of Industrial Ergonomics,1872-8219,2,0
International Journal of Selection and Assessment,1468-2389,2,0
International Journal of Stress Management,1573-3424,2,0
Journal of Applied Social Psychology,1559-1816,2,0
Journal of Career Assessment,1552-4590,2,0
Journal of Occupational and Environmental Medicine,1536-5948,2,0
Journal of Occupational Rehabilitation,1573-3688,2,0
Journal of Personnel Psychology,2190-5150,2,0
Journal of Safety Research,1879-1247,2,0
Organizational Psychology Review,2041-3874,2,0
Rehabilitation Psychology,1939-1544,2,0
Small Group Research,1552-8278,2,0
"Community, Work and Family",1469-3615,1,0
Disability and Rehabilitation,1464-5165,1,0
European Work and Organizational Psychology in practice,1736-6399,1,0
Gedrag en Organisatie,1875-7235,1,0
Human Factors and Ergonomics In Manufacturing,1520-6564,1,0
IISE Transactions on Occupational Ergonomics and Human Factors,,1,
Industrial and Organizational Psychology,1754-9434,1,0
International Coaching Psychology Review,,1,
International Journal for Educational and Vocational Guidance,1573-1782,1,0
International Journal of Occupational Safety and Ergonomics,2376-9130,1,0
International Journal of Workplace Health Management,,1,
International Negotiation,1571-8069,1,0
Journal of Career Development,1573-3548,1,0
Journal of Employment Counseling,2161-1920,1,0
Journal of Rehabilitation,1607-2960,1,0
Military Psychology,1532-7876,1,0
Occupational Medicine,1471-8405,1,0
Psychologie du Travail et des Organisations,1420-2530,1,0
Psychologist-Manager Journal,1550-3461,1,0
Rehabilitation Counseling Bulletin,1538-4853,1,0
Research in Occupational Stress and Well Being,1479-3555,1,0
Revue Europeenne de Psychologie Appliquee,1162-9088,1,0
Social Work in Public Health,1937-190X,1,0
South African Journal of Industrial Psychology,2071-0763,1,0
"Sport, Exercise, and Performance Psychology",2157-3913,1,0
The International Journal of Aerospace Psychology,2472-1832,1,0
"TPM - Testing, Psychometrics, Methodology in Applied Psychology",1972-6325,1,0
Work,1875-9270,1,0
Zeitschrift fur Arbeits- und Organisationspsychologie,2190-6246,1,0
Public Administration Review,1540-6210,4*,0
Governance,1468-0491,4,0
Journal of Public Administration Research and Theory,1477-9803,4,0
Public Administration,1467-9299,4,0
Public Management Review,1471-9045,4,0
American Review of Public Administration,1552-3357,3,0
Environment and Planning C: Politics and Space,,3,
Health Services Research,1475-6773,3,0
International Public Management Journal,1559-3169,3,0
International Review of Administrative Sciences,1461-7226,3,0
Journal of European Public Policy,1466-4429,3,0
Journal of Policy Analysis and Management,1520-6688,3,0
Milbank Quarterly,1468-0009,3,0
Policy and Politics,1470-8442,3,0
Policy Studies Journal,,3,
Regulation and Governance,1748-5991,3,0
Administration and Society,1552-3039,2,0
Australian Journal of Public Administration,1467-8500,2,0
Educational Management Administration and Leadership,1741-1440,2,0
Evidence and Policy,1744-2656,2,0
Health Care Management Review,1550-5030,2,0
Health Care Management Science,1572-9389,2,0
Health Policy,1872-6054,2,0
International Journal of Emergency Services,2047-0908,2,0
International Journal of Public Administration,1532-4265,2,0
Journal of Health Services Research and Policy,1758-1060,2,0
Journal of Public Policy,,2,
Local Government Studies,1743-9388,2,0
Perspectives on Public Management & Governance,2398-4929,2,0
Policing,1758-695X,2,0
Policy Design and Practice,,2,
Policy Studies,1470-1006,2,0
Public Administration and Development,1099-162X,2,0
Public Integrity,1558-0989,2,0
Public Money and Management,1467-9302,2,0
Public Organization Review,1573-7098,2,0
Public Performance & Management Review,1557-9271,2,0
Public Personnel Management,1945-7421,2,0
Public Policy and Administration,1749-4192,2,0
Review of Policy Research,,2,
Review of Public Personnel Administration,1552-759X,2,0
Social Policy and Administration,1467-9515,2,0
State Politics and Policy Quarterly,,2,
"Transforming Government: People, Process and Policy",1750-6166,2,0
Administrative Theory and Praxis,1949-0461,1,0
Asia and the Pacific Policy Studies,,1,
Asia Pacific Journal of Public Administration Brazilian Journal of Public Administration (Revista de Administração Pública,,1,
British Journal of Health Care Management,1358-0574,1,0
Canadian Public Administration,,1,
Canadian Public Policy/Analyse de politiques,,1,
Health Services Management Research,1758-1044,1,0
International Journal of Educational Management,0951-354X,1,0
International Journal of Health Care Quality Assurance,0952-6862,1,0
International Journal of Health Governance,2059-464X,1,0
International Journal of Healthcare Technology and Management,1741-5144,1,0
International Journal of Public Leadership,,1,
International Journal of Public Sector Management,0951-3558,1,0
International Review of Public Administration,2331-7795,1,0
Journal of Asian Public Policy,,1,
Journal of Comparative Policy Analysis,,1,
Journal of Health Organization and Management,1758-7247,1,0
Journal of Public Affairs,1479-1854,1,0
Journal of Public Affairs Education,2328-9643,1,0
Leadership in Health Services,1751-1887,1,0
Policing: A journal of policy and practice,,1,
Public Administration Quarterly,0734-9149,1,0
Public Works Management and Policy,,1,
State and Local Government Review,,1,
Teaching Public Administration,2047-8720,1,0
Voluntary Sector Review,,1,
AmNicD G EeNoVgIrRaOphNyMENT,,4,
Al NofD E EcNonVoIRmOicN GMeEoNgrTaphy,,4,
nAaNl DSt EuNdiVeIsRONMENT,,4,
"rAidNgDe EJoNuVrInRaOl oNfM ReEgNiTons, Economy and Society",,3,
AnNmDe nEtN aVnIdR OPlNaMnnEinNgT A,,3,
eAaNnD U ErNbaVnIR aOnNd MReEgNioTnal Studies,,3,
lA ENnDv iEroNnVmIReOntNaMl CEhNaTnge,,3,
Al NofD R EeNgVioInRaOl NScMieEnNceT,,3,
Al NofD R EuNraVl ISRtOudNiMesENT,,3,
sA iNnD R eEgNiVonIRaOl SNcMienEcNeT,,3,
nAaNl DSc EieNnVcIeR aOnNdM UErbNaTn Economics,,3,
A SNtuDd EieNsVIRONMENT,,3,
sA oNfD R EeNgiVoInRaOl SNcMieEnNceT,,2,
AND ENVIRONMENT,,2,
rAuNctDio EnN MVaIRnOagNeMmEeNnTt and Economics,,2,
eAaNnD P ElaNnVnIiRnOg NStMudEiNesT,,2,
Ah NaDnd E CNhVaInRgOeNMENT,,2,
AatNioDn EaNl JVoIuRrOnaNl MofE UNrTban and Regional Research,,2,
Al NofD P ElaNcVeI MROaNnMagEeNmTent and Development,,2,
EAcNoDno EmNyVIRONMENT,,2,
APlNaDnn EinNgV RIReOviNeMwENT,,2,
nA NEvDa EluNaVtiIoRnO JNoMurnEaNlT,,1,
E AnvNiDro EnNmVeInRtO PNroMjeEcNt aTnd Asset Management,,1,
rAaNteD S EoNcViaIlR ROeNspMonEsNibTility and Environmental Management,,1,
AatNioDn EaNl JVoIuRrOnaNl MofE ENnTergy Sector Management,,1,
AatNioDn EaNl JVoIuRrOnaNl MofE HNoTusing Markets and Analysis,,1,
Al NofD C EoNrpVoIrRaOteN RMeEaNl ETstate,,1,
Al NofD E EuNroVpIeRaOnN RMeaElN ETstate Research,,1,
Al NofD F EinNaVnIcRiaOl NMMaEnNagTement of Property and Construction,,1,
Al NofD G EeNoVgIrRaOphNicMalE SNyTstems,,1,
sA iNnD S pEaNtViaIlR aOnNdM ReEsNoTurce Sciences,,1,
nAaNl Dan EdN FVeIdReOrNalM StEuNdTies,,1,
Annals of Tourism Research,1873-7722,4,0
Journal of Service Research,1552-7379,4,0
Journal of Travel Research,1552-6763,4,0
Tourism Management,1879-3193,4,0
"Transportation Research, Series B: Methodological",1879-2367,4,0
Energy Journal,1944-9089,3,0
European Sport Management Quarterly,1746-031X,3,0
Food Policy,1873-5657,3,0
International Journal of Contemporary Hospitality Management,1757-1049,3,0
International Journal of Hospitality Management,1873-4693,3,0
Journal of Sustainable Tourism,1747-7646,3,0
Nonprofit and Voluntary Sector Quarterly,1552-7395,3,0
"Transportation Research, Part A: Policy and Practice",1879-2375,3,0
"Transportation Research, Part D: Transport and Environment",1879-2340,3,0
"Transportation Research, Part E: Logistics and Transportation Review",1878-5794,3,0
Annals of Leisure Research,2159-6816,2,0
Building Research and Information,1466-4321,2,0
Cornell Hospitality Quarterly,1938-9663,2,0
Current Issues in Tourism,1747-7603,2,0
Energy Policy,1873-6777,2,0
Environmental Management,1432-1009,2,0
Event Management,1525-9951,2,0
Hospitality and Society,2042-7921,2,0
International Journal of Strategic Property Management,1648-9179,2,0
International Journal of Tourism Research,1522-1970,2,0
Journal of Hospitality and Tourism Management,1839-5260,2,0
Journal of Hospitality and Tourism Research,1557-7554,2,0
Journal of Management in Engineering - ASCE,1943-5479,2,0
Journal of Service Management,1757-5826,2,0
Journal of Sport Management,1543-270X,2,0
Journal of Sports Economics,1552-7794,2,0
Journal of Transport Geography,1873-1236,2,0
Journal of Travel and Tourism Marketing,1540-7306,2,0
Leisure Sciences,1521-0588,2,0
Leisure Studies,1466-4496,2,0
Marine Policy,1872-9460,2,0
Maritime Policy and Management,1464-5254,2,0
Museum Management and Curatorship,1872-9185,2,0
Scandinavian Journal of Hospitality and Tourism,1502-2269,2,0
Service Industries Journal,1743-9507,2,0
Sport Management Review,1839-2083,2,0
Tourism Analysis,1943-3999,2,0
Tourism Economics,2044-0375,2,0
Tourism Geographies,1470-1340,2,0
Tourism Management Perspectives,2211-9744,2,0
Tourism Planning and Development,2156-8324,2,0
Tourism Recreation Research,2320-0308,2,0
Transport Policy,1879-310X,2,0
Transport Reviews,1464-5327,2,0
Transportation,1572-9435,2,0
Voluntas,1573-7888,2,0
Advances in Hospitality and Leisure,1745-3542,1,0
Anatolia: An International Journal of Tourism and Hospitality Research,2156-6909,1,0
Asia Pacific Journal of Tourism Research,1741-6507,1,0
British Food Journal,1758-4108,1,0
"Digital Policy, Regulation and Governance",2398-5038,1,0
"Engineering, Construction and Architectural Management",1365-232X,1,0
Facilities,0263-2772,1,0
International Hospitality Review,2516-8142,1,0
"International Journal of Culture, Tourism and Hospitality Research",1750-6182,1,0
International Journal of Event and Festival Management,1758-2962,1,0
International Journal of Heritage Studies,1470-3610,1,0
International Journal of Hospitality and Tourism Administration,1525-6499,1,0
International Journal of Sport and Society,2152-7865,1,0
International Journal of Sport Finance,1930-076X,1,0
International Journal of Sport Management,1546-234X,1,0
International Journal of Sport Management and Marketing,1740-2808,1,0
International Journal of Sport Policy and Politics,1940-6959,1,0
International Journal of Sports Marketing and Sponsorship,1464-6668,1,0
Journal of China Tourism Research,1938-8179,1,0
Journal of Cleaner Production,1879-1786,1,0
Journal of Convention and Event Tourism,1547-0156,1,0
Journal of Destination Marketing and Management,2212-571X,1,0
Journal of Ecotourism,1747-7638,1,0
Journal of Foodservice Business Research,1537-8039,1,0
Journal of Heritage Tourism,,1,
Journal of Hospitality and Tourism Education,2325-6540,1,0
Journal of Hospitality and Tourism Technology,1757-9899,1,0
Journal of Hospitality Marketing and Management,1936-8631,1,0
"Journal of Hospitality, Leisure, Sport and Tourism Education",1473-8376,1,0
Journal of Human Resources in Hospitality and Tourism,1533-2853,1,0
Journal of Media Business Studies,1652-2354,1,0
Journal of Outdoor Recreation and Tourism,2213-0799,1,0
"Journal of Policy Research in Tourism, Leisure and Events",1940-7971,1,0
Journal of Quality Assurance in Hospitality and Tourism,1528-008X,1,0
Journal of Sport and Tourism,1029-5399,1,0
Journal of the Textile Institute,1754-2340,1,0
Journal of Transport Economics and Policy,1754-5951,1,0
Journal of Vacation Marketing,1479-1870,1,0
Managing Leisure: An International Journal,2375-0480,1,0
Marine Resource Economics,2334-5985,1,0
Maritime Economics and Logistics,1479-294X,1,0
Non-Profit Management & Leadership,1542-7854,1,0
Nutrition and Food Science,0034-6659,1,0
PASOS Journal of Tourism and Cultural Heritage,1695-7121,1,0
Property Management,0263-7472,1,0
Service Business,1862-8508,1,0
Sport Marketing Quarterly,1557-2528,1,0
"Sport, Business and Management: An International Journal",2042-6798,1,0
Telecommunications Policy,1879-3258,1,0
Tourism Review,1759-8451,1,0
"Tourism, Culture and Communication",1098-304X,1,0
Tourism: An International Interdisciplinary Journal,,1,
Tourist Studies,1741-3206,1,0
Utilities Policy,1878-4356,1,0
Visitor Studies,1934-7715,1,0
World Leisure Journal,2333-4509,1,0
Worldwide Hospitality and Tourism Themes,1755-4225,1,0
American Journal of Political Science,,4*,
American Journal of Sociology,1537-5390,4*,0
American Political Science Review,,4*,
American Sociological Review,1939-8271,4*,1
Annual Review of Sociology,1545-2115,4*,0
Environment and Planning D: Society and Space,1472-3433,4,0
International Organization,,4,
International Studies Quarterly,,4,
Journal of Politics,,4,
Risk Analysis,1539-6924,4,0
Social Science and Medicine,1873-5347,4,0
Socio-Economic Review,1475-147X,4,0
Sociology,1469-8684,4,0
Antipode,1467-8330,3,0
British Journal of Sociology,1468-4446,3,0
Business Strategy and the Environment,1099-0836,3,0
Development and Change,1467-7660,3,0
Economy and Society,1469-5766,3,0
Electoral Studies,1873-6890,3,0
Environmental Science & Technology,1520-5851,3,0
Environmental Science and Policy,1873-6416,3,0
European Sociological Review,1468-2672,3,0
Global Networks,1471-0374,3,0
Industrial and Corporate Change,1464-3650,3,0
Journal of Cultural Economy,1753-0369,3,0
Journal of Development Studies,1743-9140,3,0
Journal of European Social Policy,1461-7269,3,0
Journal of Social Policy,1469-7823,3,0
New Political Economy,1469-9923,3,0
Politics and Society,1552-7514,3,0
Progress in Human Geography,1477-0288,3,0
Public Opinion Quarterly,1537-5331,3,0
Quarterly Journal of Political Science,1554-0634,3,0
Research in Social Stratification and Mobility,,3,
Review of International Political Economy,1466-4526,3,0
Social Forces,1534-7605,3,0
Social Science Research,,3,
Sociological Methodology,1467-9531,3,0
Sociological Review,1467-954X,3,0
Sociology of Health and Illness,1467-9566,3,0
"Theory, Culture and Society",1460-3616,3,0
West European Politics,1743-9655,3,0
World Development,0305-750X,3,0
American Journal of Economics and Sociology,1536-7150,2,0
Capital and Class,0309-8168,2,0
Critical Social Policy,1461-703X,2,0
Current Sociology,1461-7064,2,0
Futures,1873-6378,2,0
Geoforum,1872-9398,2,0
Habitat International,,2,
Human Organization,1938-3525,2,0
Information Communication and Society,1468-4462,2,0
International Journal of Development Issues,1758-8553,2,0
International Journal of Green Energy,1543-5083,2,0
International Sociology,1461-7242,2,0
Journal of Business Law,0021-9460,2,0
Journal of Consumer Policy,1573-0700,2,0
Journal of Ethnic and Migration Studies,1469-9451,2,0
Journal of Industrial Ecology,1530-9290,2,0
Journal of Law and Society,1467-6478,2,0
Journal of Risk Research,1466-4461,2,0
Kyklos,1467-6435,2,0
Land Use Policy,,2,
Parliamentary Affairs,1460-2482,2,0
Political Quarterly,1467-923X,2,0
Political Studies,1467-9248,2,0
Research Evaluation,1471-5449,2,0
Review of Social Economy,1470-1162,2,0
Safety Science,,2,
Science and Public Policy,1471-5430,2,0
Science and Society,1943-2801,2,0
"Science, Technology and Society",0973-0796,2,0
Social Networks,1879-2111,2,0
Society and Business Review,1746-5699,2,0
Technology in Society,,2,
Time and Society,1461-7463,2,0
Area,1475-4762,1,0
Arts and the Market,,1,
Asia Europe Journal,1612-1031,1,0
China Report,,1,
Contemporary Education Dialogue,,1,
Environmental Economics,1998-605X,1,0
Ethnic and Racial Studies,1466-4356,1,0
Evaluation Review,,1,
Geographical Journal,1475-4959,1,0
"Geopolitics under Globalization Gosudarstvo, Religiia, Tserkov' v Rossii i za Rubezhom / State, Religion",,1,
"International Journal of Law, Crime and Justice",1756-0616,1,0
International Journal of Sociology and Social Policy,1758-6720,1,0
International Journal of Tourism Policy,,1,
International Migration Review,1747-7379,1,0
Journal of Asian Security and International Affairs,,1,
Journal of Globalization and Development,2194-6353,1,0
Journal of Humanities and Applied Social Sciences,,1,
Journal of International Studies,2306-3483,1,0
Journal of Leadership Studies,1935-262X,1,0
Journal of Studies in International Education,1552-7808,1,0
Journal of Trust Research,2151-559X,1,0
Management of Environmental Quality,1477-7835,1,0
Millennial Asia,,1,
Négociations,1780-9231,1,0
Philosophy of Management,,1,
Policy Sciences,1573-0891,1,0
Population Studies,1477-4747,1,0
Progress in Development Studies,,1,
Review of European Studies,1918-7181,1,0
Revista Produção e Desenvolvimento,,1,
"She Ji: The Journal of Design, Economics, and Innovation",,1,
Studies in Indian Politics,2321-7472,1,0
Sustainable Futures,,1,
The International Journal of Community and Social Development,,1,
Transactions of the Institute of British Geographers,1475-5661,1,0
Valuation Studies Z'GuG Zeitschrift für Gemeinwirtschaft und Gemeinwohl - Journal of Social,,1,
Strategic Management Journal,1097-0266,4*,1
Global Strategy Journal,2042-5805,4,0
Long Range Planning,1873-1872,4,0
Strategic Organization,1741-315X,3,0
Strategy Science,,3,
Advances in Strategic Management,0742-3322,2,0
European Journal of Management and Business Economics,,2,
Journal of Competitiveness,,2,
Journal of Economics and Management Strategy,1530-9134,2,0
Journal of Organization Design,2245-408X,2,0
Strategic Change,1099-1697,2,0
Technology Analysis and Strategic Management,1465-3990,2,0
Central European Management Journal,,1,
Foresight,1465-9832,1,0
International Journal of Strategic Decision Sciences,1947-8577,1,0
Journal of Advances in Management Research,,1,
Journal of Business Models,2246-2465,1,0
Journal of Business Strategy,0275-6668,1,0
Journal of Change Management,1479-1811,1,0
Journal of Facilities Management,,1,
Journal of Strategic Contracting and Negotiation,2055-5644,1,0
Journal of Strategy and Management,1755-4268,1,0
M@n@gement,1286-4692,1,0
Management Review Quarterly,2198-1639,1,0
Negotiation and Conflict Management Research,,1,
Revista Brasileira de Gestão de Negócios,,1,
Strategy and Leadership,1087-8572,1,0
